Trip_ID,Pickup_DateTime,Drop_DateTime,Pickup_Location,Drop_Location,City,Fare_Amount,Payment_Type
T000707,2024-09-03 20:31:00,2024-09-03 21:55:00,Janakpuri,Five Star Hotel,Delhi,698.49,Online
T005193,2024-09-16 08:40:00,2024-09-16 09:01:00,Gurgaon,India Gate,Delhi,372.73,Cash
T003853,2024-09-12 11:32:00,2024-09-12 11:58:00,Bandra,Market,Mumbai,396.18,Online
T001904,2024-09-06 06:04:00,2024-09-06 07:22:00,Bandra,Port,Mumbai,524.85,Online
T000857,2024-09-03 21:01:00,2024-09-03 22:22:00,Rajiv Gandhi Airport,Secunderabad Station,Hyderabad,818.51,Cash
T002176,2024-09-07 09:44:00,2024-09-07 10:00:00,Koregaon Park,Pashan Lake,Pune,116.03,Online
T004793,2024-09-15 18:28:00,2024-09-15 19:24:00,Uppal,Golconda Fort,Hyderabad,323.7,Online
T001165,2024-09-04 19:29:00,2024-09-04 20:35:00,Kondapur,Apollo Hospitals,Hyderabad,782.62,Online
T003172,2024-09-10 15:56:00,2024-09-10 16:24:00,Viman Nagar,Pashan Lake,Pune,413.68,Cash
T002199,2024-09-07 06:11:00,2024-09-07 07:31:00,Powai,Hospital,Mumbai,757.67,Online
T006120,2024-09-18 12:50:00,2024-09-18 14:08:00,Secunderabad,ITC Kakatiya,Hyderabad,750.7,Online
T000505,2024-09-02 21:18:00,2024-09-02 21:28:00,Kothrud,Pune Station,Pune,323.95,Online
T000489,2024-09-02 20:22:00,2024-09-02 20:56:00,Downtown,Hotel,Mumbai,398.74,Cash
T000415,2024-09-01 17:57:00,2024-09-01 18:56:00,Malleshwaram,Lalbagh,Bangalore,754.8,Online
T005882,2024-09-18 08:54:00,2024-09-18 10:08:00,Andheri,Station,Mumbai,1103.05,Cash
T004078,2024-09-13 07:11:00,2024-09-13 07:59:00,Vasant Kunj,Lotus Temple,Delhi,471.88,Online
T004653,2024-09-14 12:41:00,2024-09-14 13:02:00,Anna Nagar,Express Avenue,Chennai,520.03,Online
T003152,2024-09-10 19:41:00,2024-09-10 20:47:00,Viman Nagar,Pashan Lake,Pune,564.63,Cash
T002920,2024-09-10 11:44:00,2024-09-10 12:22:00,Velachery,Marina Beach,Chennai,311.64,Online
T004524,2024-09-14 07:20:00,2024-09-14 07:41:00,Rajiv Gandhi Airport,Lumbini Park,Hyderabad,238.9,Online
